b_code,b_name,b_type,b_gudok,b_author,b_publish,b_page,b_price,b_cdate,b_rdate,b_bookcover,b_coversize,b_des
110003959,류,novel,Y,히가시야마 아키라 저/민경욱 역,해피북스투유,365,13500 ,2022-12-07,2019-11-05,http://image.yes24.com/goods/110003959/L,0,책설명
109785026,새의 선물 [ 100쇄 기념 개정판 ],novel,Y,은희경 저,문학동네,365,14400 ,2022-12-07,2019-11-06,http://image.yes24.com/goods/109785026/L,0,책설명
107056346,이방인,novel,Y,알베르 까뮈 저/이정서 역,새움,365,7200 ,2022-12-07,2019-11-07,http://image.yes24.com/goods/107056346/L,0,책설명
105424015,비하인드 도어,novel,Y,B. A. 패리스 저/이수영 역,모모,365,13500 ,2022-12-07,2019-11-08,http://image.yes24.com/goods/105424015/L,0,책설명
101332008,자본주의의 적,novel,Y,정지아 저,창비,365,12600 ,2022-12-07,2019-11-09,http://image.yes24.com/goods/101332008/L,0,책설명
97247852,듄 신장판 전집 세트 [ 전6권 양장 ],novel,Y,프랭크 허버트 저/김승욱 역,황금가지,365,108000 ,2022-12-07,2019-11-10,http://image.yes24.com/goods/97247852/L,0,책설명
95854980,초판본 크리스마스 캐럴 1843년 오리지널 초판본 표지디자인 [ 양장 ],novel,Y,찰스 디킨스 저/황금진 역,더스토리,365,11520 ,2022-12-07,2019-11-11,http://image.yes24.com/goods/95854980/L,0,책설명
82940787,해리포터와 불의 잔 1 [ 개정판 ],novel,Y,J.K. 롤링 저/강동혁 역,문학수첩,365,8550 ,2022-12-07,2019-11-12,http://image.yes24.com/goods/82940787/L,0,책설명
68692641,너는 기억 못하겠지만,novel,Y,후지 마루 저/김은모 역,arte(아르테),365,16200 ,2022-12-07,2019-11-13,http://image.yes24.com/goods/68692641/L,0,책설명
61842744,모스크바의 신사,novel,Y,에이모 토울스 저/서창렬 역,현대문학,365,16200 ,2022-12-07,2019-11-14,http://image.yes24.com/goods/61842744/L,0,책설명
23893888,잃어버린 시간을 찾아서 1-6 세트 [ 전6권 양장 ],novel,Y,마르셀 프루스트 저/김희영 역,민음사,365,65700 ,2022-12-07,2019-11-15,http://image.yes24.com/goods/23893888/L,0,책설명
15205532,돈키호테 1,novel,Y,미겔 데 세르반테스 저,열린책들,365,14220 ,2022-12-07,2019-11-16,http://image.yes24.com/goods/15205532/L,0,책설명
12779398,릴케 시집 [ 양장 ],novel,Y,라이너 마리아 릴케 저,문예출판사,365,11700 ,2022-12-07,2019-11-17,http://image.yes24.com/goods/12779398/L,0,책설명
2825184,포스트맨은 벨을 두 번 울린다,novel,Y,제임스 M. 케인 저,민음사,365,8100 ,2022-12-07,2019-11-18,http://image.yes24.com/goods/2825184/L,0,책설명
1525142,변신,novel,Y,프란츠 카프카 저,문학동네,365,8550 ,2022-12-07,2019-11-19,http://image.yes24.com/goods/1525142/L,0,책설명
115835631,공녀고 나발이고 집에 간다고 세트 [ 전3권/초판한정부록 : 아무스 일러스트 엽서 1종+베르고 삼형제 SD 포토 카드 3종(책과랩핑) ],novel,Y,단디 저,필프리미엄에디션,365,35100 ,2022-12-07,2019-11-20,http://image.yes24.com/goods/115835631/L,0,책설명
115096447,경청 [ 양장 ],novel,Y,김혜진 저,민음사,365,13500 ,2022-12-07,2019-11-21,http://image.yes24.com/goods/115096447/L,0,책설명
114916728,흔적을 지워드립니다 특수청소 전문회사 데드모닝,novel,Y,마에카와 호마레 저/이수은 역,라곰,365,14220 ,2022-12-07,2019-11-22,http://image.yes24.com/goods/114916728/L,0,책설명
114627700,이국에서,novel,Y,이승우 저,은행나무,365,14400 ,2022-12-07,2019-11-23,http://image.yes24.com/goods/114627700/L,0,책설명
110353985,너의 초록으로 다시 향기시집 [ 향기 면지에 작가 사인 인쇄 ],novel,Y,나태주한서형 저,더블북,365,16020 ,2022-12-07,2019-11-24,http://image.yes24.com/goods/110353985/L,0,책설명
110254136,유리탑의 살인,novel,Y,치넨 미키토 저/김은모 역,리드비(READbie),365,15120 ,2022-12-07,2019-11-25,http://image.yes24.com/goods/110254136/L,0,책설명
95275828,그런 사람 또 없습니다 원태연 필사시집,novel,Y,원태연 저,북로그컴퍼니,365,12420 ,2022-12-07,2019-11-26,http://image.yes24.com/goods/95275828/L,0,책설명
91887697,여름 [ 반양장 ],novel,Y,이디스 워튼 저/김욱동 역,민음사,365,10800 ,2022-12-07,2019-11-27,http://image.yes24.com/goods/91887697/L,0,책설명
89392792,요리코를 위해 [ 스페셜 리커버 에디션 ],novel,Y,노리즈키 린타로 저/이기웅 역,모모,365,13500 ,2022-12-07,2019-11-28,http://image.yes24.com/goods/89392792/L,0,책설명
86007920,너만 모르는 그리움,novel,Y,나태주 저/배정애 글/슬로우어스 그림,북로그컴퍼니,365,12420 ,2022-12-07,2019-11-29,http://image.yes24.com/goods/86007920/L,0,책설명
82941509,해리포터와 불의 잔 2 [ 개정판 ],novel,Y,J.K. 롤링 저/강동혁 역,문학수첩,365,8550 ,2022-12-07,2019-11-30,http://image.yes24.com/goods/82941509/L,0,책설명
62251971,해설과 함께 읽는 봄봄/미스터 방 외,novel,Y,전도현 편/송하춘 감수,서연비람,365,10800 ,2022-12-07,2019-12-01,http://image.yes24.com/goods/62251971/L,0,책설명
59495035,아가미 [ 양장 개정판 ],novel,Y,구병모 저,위즈덤하우스,365,11700 ,2022-12-07,2019-12-02,http://image.yes24.com/goods/59495035/L,0,책설명
15205529,돈키호테 2,novel,Y,미겔 데 세르반테스 저,열린책들,365,14220 ,2022-12-07,2019-12-03,http://image.yes24.com/goods/15205529/L,0,책설명
115289928,나중에,novel,Y,스티븐 킹 저/진서희 역,황금가지,365,13320 ,2022-12-07,2019-12-04,http://image.yes24.com/goods/115289928/L,0,책설명
